116	47	42	57
119	46	42	55
132	47	43	55
140	47	43	55
148	49	44	56
156	51	44	55
163	51	44	54
173	50	44	54
182	51	44	53
188	51	44	52
194	51	44	52
194	52	45	52
201	52	42	51
208	52	41	52
214	53	43	54
221	55	43	54
234	55	42	55
242	54	43	55
249	53	44	56
255	53	44	56
261	53	44	55
265	53	44	55
272	54	43	56
272	54	43	56
276	54	43	56
285	55	40	54
289	56	40	56
296	58	40	57
296	58	40	56
303	58	40	55
308	58	40	53
312	59	41	51
314	59	42	52
314	59	42	54
314	59	42	51
315	59	42	51
316	59	42	51
317	59	41	50
320	58	40	50
322	59	41	50
326	59	41	49
330	60	41	50
329	59	41	50
334	59	41	51
336	59	41	51
340	58	40	52
341	59	40	52
340	59	40	53
341	59	40	52
340	60	41	52
339	59	41	52
338	59	40	51
336	61	40	52
333	61	40	52
331	61	41	52
329	61	40	52
326	61	40	52
325	61	41	52
322	61	41	52
318	59	41	53
314	59	41	53
307	58	42	54
303	57	42	54
297	56	42	54
292	56	43	55
286	56	43	55
281	57	42	54
274	55	42	55
267	55	42	55
256	54	41	54
250	54	42	54
244	53	42	54
243	53	44	55
238	53	42	53
232	54	42	53
226	53	41	53
220	54	41	52
205	53	43	54
198	52	40	53
190	51	42	54
182	49	43	51
173	50	44	50
166	50	43	52
160	50	43	51
151	50	40	47
143	52	41	49
137	52	42	48
130	53	42	48
125	53	43	46
125	54	43	48
121	53	42	47
116	54	42	47
111	54	42	47
104	54	42	45
98	55	43	47
93	54	42	49
90	53	42	49
85	50	42	51
82	49	42	50
77	48	41	54
76	46	40	54
73	46	40	51
73	46	39	52
70	46	40	50
67	45	39	47
61	45	39	45
55	46	39	45
43	48	40	46
36	48	39	48
32	48	38	46
30	49	38	49
29	47	38	50
28	49	38	55
30	48	38	51
33	48	38	52
32	48	38	53
36	47	38	50
43	48	39	49
52	49	39	48
67	48	39	48
76	48	39	49
84	49	39	48
89	49	39	48
94	49	38	49
99	49	39	50
104	49	39	51
109	49	40	52
112	50	40	53
112	50	41	53
116	50	41	53
