199	108	17	45
198	108	15	44
197	111	16	46
195	113	16	45
191	115	20	52
188	121	20	51
189	122	18	50
186	123	19	49
183	126	21	48
179	126	18	50
174	128	20	54
172	130	20	54
171	133	17	51
169	134	16	50
163	135	21	51
159	137	19	50
157	138	17	49
151	139	20	55
149	141	20	54
142	142	21	53
139	143	25	52
136	144	24	51
135	143	21	51
132	144	22	52
129	144	24	52
130	144	26	52
131	144	24	53
135	144	25	52
136	145	27	51
139	145	27	51
149	145	24	51
153	144	26	51
160	143	24	50
165	141	20	51
170	140	26	51
172	139	26	50
180	137	22	50
183	135	22	51
188	133	24	53
193	129	22	49
196	127	21	51
198	124	21	52
201	120	22	53
202	118	21	49
204	115	20	52
206	113	19	52
206	109	20	48
205	107	20	49
205	106	19	48
204	103	19	47
202	102	21	47
198	100	19	46
196	98	19	48
194	97	21	49
191	95	20	48
188	92	18	48
186	90	18	48
184	89	18	44
180	86	20	47
178	84	22	48
176	83	23	46
177	79	19	46
175	77	18	46
174	75	18	47
173	71	18	45
171	70	19	46
169	69	19	44
169	67	17	42
165	77	18	32
163	75	18	30
161	71	16	32
155	67	22	43
153	62	20	41
152	60	20	38
146	56	19	39
144	57	18	38
142	56	18	37
138	51	19	41
136	50	17	40
135	50	18	38
133	48	19	40
130	45	20	40
129	45	18	38
128	41	20	41
127	41	21	41
126	41	22	39
127	37	23	40
125	35	24	42
129	36	20	39
118	32	36	50
71	12	126	122
191	152	29	50
194	154	23	47
191	155	21	46
185	157	23	50
180	160	24	48
178	161	21	48
175	161	20	48
164	162	25	46
163	161	25	47
159	160	21	46
148	160	26	46
144	160	27	45
142	157	22	46
134	156	24	48
132	154	24	50
126	149	22	48
119	147	25	48
118	145	24	48
109	136	31	52
106	130	37	60
92	114	60	74
189	85	18	41
195	90	16	38
199	97	17	41
200	99	17	39
204	107	16	46
208	112	17	43
210	117	19	49
213	123	20	48
214	129	20	50
215	139	22	48
217	142	22	49
217	149	22	51
218	159	19	47
218	159	18	53
213	168	25	51
210	174	22	54
205	181	22	52
202	184	20	50
193	187	27	55
186	191	20	55
178	192	28	56
172	194	28	54
161	192	23	56
155	192	27	55
146	192	30	52
140	189	23	55
137	188	25	55
133	186	23	52
127	182	25	54
123	179	27	58
124	176	25	58
122	172	22	53
121	168	22	54
120	166	22	56
119	159	22	51
118	156	23	54
119	152	23	56
119	149	22	51
119	146	22	53
119	141	22	55
119	139	21	49
119	135	21	52
118	131	22	55
118	128	22	55
118	124	21	51
116	121	21	52
116	119	21	52
115	115	21	50
115	111	22	52
114	110	22	47
116	107	21	49
115	105	21	50
116	101	20	48
116	94	23	54
117	100	23	45
120	97	22	44
121	94	22	46
123	91	17	44
125	88	16	45
125	88	17	45
126	87	17	44
126	85	17	45
126	85	19	43
126	84	20	43
128	84	17	42
131	83	16	42
132	83	18	42
134	83	18	43
135	85	20	46
135	86	20	41
133	91	22	56
128	101	22	47
133	91	18	33
131	91	18	47
131	92	19	45
130	94	18	47
129	95	20	46
127	96	26	46
132	97	23	47
136	97	19	46
137	97	19	46
137	96	18	46
134	98	22	47
136	98	19	47
137	100	18	46
135	101	20	45
133	101	20	45
128	101	20	47
125	101	23	51
125	103	24	49
120	102	20	49
118	102	18	48
115	102	22	46
112	102	24	46
112	102	21	47
111	101	23	47
110	101	27	47
110	101	24	47
109	99	20	49
109	98	19	48
108	97	18	49
109	96	20	48
109	95	21	47
108	91	22	49
105	90	28	44
107	87	24	46
110	83	18	48
